ts	id	kind	phase	status	statement	why	rejected	undo	confirm	by	owner	evidence	depends	note
2026-09-22T05:59:00Z	D1	decision	implement	active	Agent chat references to artifact spots render as travel links via a fenced lucid-references block	Agent prose naming a location left the reader hunting; note cards already prove the travel rule	Server-side free-text mining: fuzzy match over every line with false positives pointing at the wrong block	Remove the preamble paragraph, the strip, the client resolver and link component; refs render as prose	-	machine-made	-	.scratch/chat-anchors/shape.md	-	-
2026-09-22T05:59:00Z	D2	decision	implement	active	Reference fence strips to nothing; the agent prose already brackets the label	Live browser run showed the strip appending a second bracketed label, printing it twice	Strip leaving labels inline: duplicates the prose brackets	Restore label-emitting strip in src/protocol/chat-references.ts	-	machine-made	-	test/protocol/chat-references.test.ts	-	-
2026-09-22T05:59:00Z	E1	event	verify	done	Full gates green: lint, typecheck, 1803 tests pass	bun run lint plus typecheck plus bun test	-	-	-	-	-	bun test: 1803 pass 0 fail	-	-
2026-09-22T05:59:00Z	E2	event	verify	done	Live browser proof: chat link renders inline and click fires focusSpot path	Served record with artifact plus reference fence; clicked chat-ref in Chrome	-	-	-	-	-	.scratch/chat-anchors/live-server.ts	-	-
2026-09-22T06:13:20Z	E3	event	verify	done	Pinned-version refusal proven live: click on pinned v1 leaves the frame unchanged	Before/after screenshots match; no focus light, no scroll	-	-	-	-	-	.scratch/chat-anchors/pinned-before.png, .scratch/chat-anchors/pinned-after.png	-	-
2026-09-22T06:13:20Z	E4	event	verify	done	Focus light captured live: chat click lights the Next survey block	Screenshot 1s after click shows the teal focus wash on the target block	-	-	-	-	-	.scratch/chat-anchors/focus-proof.png	-	-
2026-09-22T06:13:20Z	D3	decision	implement	active	Pinned guard extracted as chatLinkTravels predicate shared by note-card path	Rule needs a unit test independent of the page component	Test through the full App component: heavy mount, assistant-ui runtime, no isolation	Inline the check back into goToSpot	-	machine-made	-	test/server/chat-references.test.ts	-	-
2026-09-22T06:14:37Z	E5	event	verify	done	Final gate green: lint, typecheck, 1805 tests pass	Full bun test after predicate extraction and live-script changes	-	-	-	-	-	bun test: 1805 pass 0 fail	-	-
2026-09-22T06:25:46Z	D4	decision	implement	active	Accept all four comment-sicko MUST KILL findings as real defects and fix code, not just comments	Label-keyed map collides across messages; header claims selectorsForQuote which is unused; cap runs per fence not per message; travel test renders a local copy	Comment-only fixes: the findings describe code behavior, not prose	Revert the four code fixes individually; tests pin each	-	machine-made	-	comment-sicko report in session	-	-
2026-09-22T06:39:22Z	D5	decision	implement	active	Fix second-review findings: TreeWalker offset mapping, literal-id travel test, same-label regression test	Reviewer proved the leaf-sum walk mis-mapped mixed content to e4 instead of e3; travel test asserted resolver output against itself	Comment-only response: the offset defect is a wrong-block link, a correctness kill	Revert chat-references.ts walker plus the two tests	-	machine-made	-	test/server/chat-references.test.ts offsets test	-	-
2026-09-22T06:41:57Z	E6	event	verify	done	PR opened: dungle-scrubs/lucid #295 from feat/chat-anchor-links to main	Requested delivery state	-	-	-	-	-	https://github.com/dungle-scrubs/lucid/pull/295	-	-
